Tags,model_name,final_metrics/train_accuracy,final_metrics/test_accuracy,parameters/epochs,parameters/lr,parameters/batch_size,parameters/seed,parameters/momentum,parameters/regularisation_L2,parameters/regularisation_dropout,data_augumentation_param,data_augumentation
"[""augment"",""mixup""]",resnet18_pretrained,0.62,0.79,10,0.003,16,51234,0.0,0.0,0.0,0.9,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.85,0.76,10,0.003,16,74685,0.0,0.0,0.0,0.7,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.85,0.74,10,0.003,16,87551,0.0,0.0,0.0,0.5,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.67,0.81,10,0.003,16,6234,0.0,0.0,0.0,0.9,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.81,0.76,10,0.003,16,16973,0.0,0.0,0.0,0.7,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.91,0.78,10,0.003,16,23669,0.0,0.0,0.0,0.5,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.65,0.80,10,0.003,16,1265,0.0,0.0,0.0,0.9,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.83,0.77,10,0.003,16,33556,0.0,0.0,0.0,0.7,mixup
"[""augment"",""mixup""]",resnet18_pretrained,0.89,0.76,10,0.003,16,55446,0.0,0.0,0.0,0.5,mixup
"[""augment"",""jitter""]",resnet18_pretrained,0.8144,0.3661,10,0.003,16,53353,0.0,0.0,0.0,1.0,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.8952,0.3122,10,0.003,16,17746,0.0,0.0,0.0,0.5,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.9145,0.2185,10,0.003,16,22886,0.0,0.0,0.0,0.1,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.8465,0.4123,10,0.003,16,94425,0.0,0.0,0.0,1.0,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.8845,0.2907,10,0.003,16,2754,0.0,0.0,0.0,0.5,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.8945,0.2077,10,0.003,16,66277,0.0,0.0,0.0,0.1,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.83248,0.4031,10,0.003,16,11849,0.0,0.0,0.0,1.0,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.8947,0.2904,10,0.003,16,7925,0.0,0.0,0.0,0.5,color_jitter
"[""augment"",""jitter""]",resnet18_pretrained,0.90906,0.2095,10,0.003,16,97941,0.0,0.0,0.0,0.1,color_jitter
"[""augment"",""crop""]",resnet18_pretrained,0.2755,0.125,10,0.003,16,99466,0.0,0.0,0.0,8.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.57235,0.4795,10,0.003,16,1453,0.0,0.0,0.0,16.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.8958,0.7922,10,0.003,16,11332,0.0,0.0,0.0,28.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.2523,0.0808,10,0.003,16,28854,0.0,0.0,0.0,8.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.55234,0.4565,10,0.003,16,57846,0.0,0.0,0.0,16.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.8912,0.7902,10,0.003,16,63354,0.0,0.0,0.0,28.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.29528,0.1028,10,0.003,16,88203,0.0,0.0,0.0,8.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.56452,0.4607,10,0.003,16,49649,0.0,0.0,0.0,16.0,random_crop
"[""augment"",""crop""]",resnet18_pretrained,0.8949,0.7949,10,0.003,16,27057,0.0,0.0,0.0,28.0,random_crop
"[""augment"",""rotate""]",resnet18_pretrained,0.7243,0.7144,10,0.003,16,66567,0.0,0.0,0.0,180.0,random_rotation
"[""augment"",""rotate""]",resnet18_pretrained,0.7567,0.7593,10,0.003,16,38865,0.0,0.0,0.0,90.0,random_rotation
"[""augment"",""rotate""]",resnet18_pretrained,0.83324,0.8041,10,0.003,16,18857,0.0,0.0,0.0,30.0,random_rotation
"[""augment"",""rotate""]",resnet18_pretrained,0.72488,0.7212,10,0.003,16,62246,0.0,0.0,0.0,180.0,random_rotation
